-0.8125,0.125,-0.1875
0.3125,0.125,-0.1875
0.0625,0.0625,-0.0625
0.375,0,0.125
-0.125,-0.0625,0.0625
-0.3125,0.0625,-0.0625
-0.125,0.25,-0.0625
0.6875,0.1875,0.4375
0.25,0.5625,0.5625
-0.125,0.4375,0.1875
-0.3125,0.5,-0.0625
-0.3125,0.125,-0.125
0.25,-0.125,0.0625
0,-0.4375,0.4375
0.0625,-0.25,0.5
0.125,0.0625,0.375
-0.6875,0.1875,0.0625
0,0.3125,0.0625
0.3125,0.0625,0.25
0.125,-0.0625,0.3125
0.3125,-0.375,0.375
-0.1875,-0.125,0.125
-0.5,0.1875,0
-0.0625,-0.1875,-0.125
-0.375,0,-0.125
-0.3125,0.4375,-0.0625
-0.75,0.5,0.125
0.3125,0.0625,0.4375
1.6875,-0.1875,0.375
1.25,-0.4375,0.5625
0.25,-0.25,0.5
0.375,-0.1875,0.375
0.8125,-0.5,0.4375
0.8125,-0.875,0.1875
-0.4375,-1.125,-0.0625
-0.25,-0.5625,-0.1875
-0.1875,-0.3125,-0.125
-0.25,-0.3125,-0.3125
1.1875,-0.1875,-0.75
3.5,-0.125,-0.0625
4.8125,-1.3125,0.8125
3.4375,-2.125,0.125
1.0625,-0.875,0
-0.4375,-0.1875,-0.4375
-0.4375,-0.5,0.1875
-0.125,-0.75,0.4375
0.875,-0.4375,0.75
0.625,-0.1875,0.125
-0.25,0.1875,-0.0625
-1.75,-0.5625,0.6875
-1.9375,0.1875,0.75
-1.6875,-1.125,0.25
0.875,-2.5,2.625
4.8125,-3.4375,3.3125
1.875,-2.6875,1.75
-0.125,-0.625,1.0625
1.375,0.3125,-0.3125
1.25,1.6875,-0.125
-1.4375,1.6875,-0.9375
-5.125,1.125,-0.125
-2.4375,0.875,-0.625
2.25,-0.1875,1.0625
1.25,-1.4375,1.9375
0.4375,-1.4375,1.625
0.5,-0.0625,0.5
3.25,0.75,0.1875
-0.0625,2.0625,-0.875
-2,1.9375,-1.375
-3.8125,0.375,0.125
0.125,-1.6875,0.3125
1.75,-1,0.8125
-1,-0.0625,-0.125
1.4375,1.8125,0
-0.6875,1.5625,-0.375
-2.375,0.9375,-0.75
-4.75,0.125,-0.6875
4.25,-0.6875,0.1875
2.25,-1.625,1.8125
2.25,-0.6875,0.5
2.625,0.5625,0.1875
-1.75,0.75,-1.4375
-2.3125,0.4375,-1.375
-3.375,-0.5,-1.5
0.5,-0.5,-0.6875
0.875,-0.3125,-0.625
0.25,0,-0.75
-1,0.375,0
-2.8125,0.5625,-0.25
-1.3125,0.0625,-0.75
-0.5,-0.375,-1.1875
0.4375,-0.4375,-0.5625
0.75,0.3125,-0.0625
0.625,0.625,-0.1875
-0.75,0.3125,-0.1875
-0.5625,0.0625,0.0625
2.25,-0.3125,0.1875
8.8125,-1.375,1.4375
19.188,-3.25,2.375
23,-8.875,1
10,-21.625,-2.75
-16.5,-28.813,-8.375
-27,-25.875,-2.8125
-12.188,-19.75,4.3125
14.875,-4.875,12.875
44.25,9.9375,24.625
58.75,18.563,34.438
38.125,16.313,38.313
9.9375,12.813,29.625
6.5625,9.5,21.625
10.563,3.125,18.125
7.75,-2.375,17.063
7.375,-4.875,15.125
8.625,-3.5,12.75
11.438,-2,9.9375
6.625,-3.4375,7.25
-0.5,-6.5,3.0625
-3.75,-5.875,0.125
-0.875,-3.4375,-2.8125
2.1875,-0.9375,-3.75
-0.1875,-0.5,-4.625
-5,-3.8125,-6.3125
-7.9375,-4.375,-6.125
-15,-0.8125,-4.125
-23.625,-2.75,-1.625
-21.188,-5,-0.8125
-7.1875,-6.5,-4.4375
-8.8125,-1.8125,-3.1875
-12.438,1.6875,-3.4375
-19.938,-0.1875,-1
-27.688,-2,1.25
-29.688,-4.6875,3.125
-25.688,-4.875,4.9375
-22.625,-5.125,5.75
-22.438,-5.75,4.875
-26,-6.625,2.6875
-27.188,-8.8125,2.125
-17.25,-10.563,-0.75
-13.875,-12.375,-2.875
-9.8125,-11.125,-6.3125
-6.8125,-10.063,-11.188
-16.188,11.313,-8.375
6.6875,9.9375,11.813
18.875,2.4375,1.4375
-9.125,1.625,4.125
-10.563,-2.25,-3.0625
10.688,4.3125,-0.5
20.938,7.1875,-0.4375
12.813,8,-1
10.313,5.3125,1.25
19.063,1.9375,3.8125
19.125,2.125,4.375
12.938,2.8125,4.0625
5.875,4.8125,3.125
1.0625,5.875,1.9375
3.5,5.25,0.8125
5.5625,4.3125,-0.125
1.9375,4.0625,-1.125
-4.8125,4.125,-2.3125
-9.6875,4.625,-3.4375
-11.313,5,-3.375
-11.188,5.1875,-2.6875
-8.625,5.5,-1.75
-6.375,5.1875,-1.4375
-5.625,4.0625,-1.625
-6,2.25,-1.8125
-4.4375,1.3125,-1.3125
-2.9375,1,-0.875
-2,0.9375,-1.3125
-2.875,-0.875,-1.9375
-4,-2.3125,-1.5
-1.9375,-1.375,-2.25
-2,0.5625,-2.3125
-2.75,1.125,-1.9375
-3.8125,0.4375,-1.0625
-2.9375,0.6875,-0.75
-1.4375,1.125,-0.5625
